wkt_geom,LOCATION,APP_NO,STATUS,NO_OF_TURB,HUB_HT,TIP_HT,STATUS__OP,INSTALLED_,CAPACITY,Decision,lon,lat
Point (-4.43944378947502738 50.62359935037251546),"Trethorne Leisure Farm, Kennards House",PA13/03342,Application approved & operational,1,50m,77m,Operational,1,0.5,12/23/2013,-4.4394,50.6236
Point (-5.01224396511442816 50.37868510452457116),"Nancolleth Farm, Summercourt, Newquay",PA13/01222/PREAPP,Pre application - closed/issued,1,50m,77m,Closed pub avail,0,0.5,5/14/2013,-5.0122,50.3787
Point (-4.43499021864833853 50.61977194475430508),"Land at Treguddick Farm, Polyphant, Launceston",PA13/03604,Application approved & operational,1,50m,77m,Operational,1,0.5,12/4/2013,-4.435,50.6198
Point (-4.99715731013980236 50.50683573053795783),"Trevio Farm, Penrose, Wadebridge",PA13/03507,Application approved & operational,1,29.3m,39.7m,Operational,1,0.05,9/30/2013,-4.9972,50.5068
Point (-5.02384706683187954 50.3594498394151131),"Trevilson Farm, Trevilson",PA13/03938,Application approved & operational,1,24.9m,34.5m,Operational,1,0.05,7/9/2013,-5.0238,50.3594
Point (-4.69400210596183776 50.4795782454714157),"Callywith Farm, Cardinham, Bodmin",EN11/03080,Approved on appeal and operational,1,50m,75.75m,Operating appeal,1,0.5,1/23/2013,-4.694,50.4796
Point (-4.58427509209104933 50.49750385056029245),"Gazeland Farm, Warleggan, Liskeard",PA13/04323,Application approved & operational,2,15m,17.75m,Operational,2,0.01,10/11/2013,-4.5843,50.4975
Point (-4.57333798842220407 50.69825844702285167),"Trevillian Down Cottage, Warbstow, Launceston",PA13/04181,Application approved & operational,1,14.97m,17.77m,Operational,1,0.005,7/8/2013,-4.5733,50.6983
Point (-4.96105103724607499 50.46522104561715594),"Higher Denzell Farm, St Mawgan, Newquay",PA13/04805,Application approved & operational,5,64m,100m,Operational,5,10,6/10/2014,-4.9611,50.4652
Point (-4.46993394534207855 50.60928396745851643),"Bowden Farm, Polyphant, Launceston",PA13/03093,Application approved & operational,1,20.58m,27.13m,Operational,1,0.02,7/23/2013,-4.4699,50.6093
Point (-4.58675359129191218 50.46718678729367014),"Great Tredinnick Farm, Mount, Liskeard",PA13/03560,Application approved & operational,1,30.5m,47m,Operational,1,0.225,8/8/2013,-4.5868,50.4672
Point (-4.92024186469523794 50.3273966963847954),"Carnwinnick Farm, Grampound Road, Truro",PA13/04838,Application approved & operational,1,30.51m,47m,Operational,1,0.225,12/20/2013,-4.9202,50.3274
Point (-5.13444713463291524 50.31311678167158874),"Cornish Scrumpy Co, Callestick Cider Farm",PA13/05445,Application approved & operational,1,24m,33.6m,Operational,1,0.055,12/10/2013,-5.1344,50.3131
Point (-4.57611888193360006 50.69870194738943781),"Land w of Trevillian Cottage, Warbstow, Launceston",PA13/05919,Application approved & operational,1,36m,45.6m,Operational,1,0.055,8/23/2013,-4.5761,50.6987
Point (-4.65606298326938628 50.649182499296586),"Land E of Trela Farm, Trekeek Road, Camelford",PA13/05680,Application approved & operational,1,22.5m,34.2m,Operational,1,0.1,9/9/2013,-4.6561,50.6492
Point (-4.57274935581809494 50.71634824183425394),"Land NW of Trengune Farm,Warbstow, Launceston",PA13/06126,Application approved & operational,1,30m,45m,Operational,1,0.25,10/2/2013,-4.5727,50.7163
Point (-4.57363416523222099 50.66693218836989132),"Lundy View Farm, Lundy View, Hallworthy",PA13/06283,Application approved & operational,1,36.8m,47.1m,Operational,1,0.1,9/5/2013,-4.5736,50.6669
Point (-4.97549387223517492 50.30718911910742719),"Treverbyn Farm, Probus, Truro",PA12/03113/PREAPP,Pre application - closed/issued,1,---,---,Closed pub avail,0,0.5,7/23/2013,-4.9755,50.3072
Point (-4.3283964391364087 50.39253757691469104),"Treboul Farmhouse, St Germans, Saltash",PA13/05184,Application approved & operational,1,15m,17.75m,Operational,1,0.005,9/23/2013,-4.3284,50.3925
Point (-4.26728191319123429 50.41992337632154175),"Land Pt Os 0223 and 0326, Trematon",PA13/02149/PREAPP,Pre application - closed/issued,1,---,9.2m,Closed pub avail,0,0,9/4/2013,-4.2673,50.4199
Point (-4.36634596300100597 50.68048824644807127),"Polbridge, Werrington, Launceston",PA13/06952,Application approved & operational,2,18.3m,25m,Operational,2,0.022,9/27/2013,-4.3663,50.6805
Point (-4.46064415698371697 50.88423661910952234),"Land North of Aldercombe Barton, Kilkhampton, Bude",PA13/06812,Application approved & operational,1,60m,86.5m,Operational,1,0.8,11/20/2013,-4.4606,50.8842
Point (-5.20043598067488411 50.15742509623630241),"Under Lane, Wendron.",PA13/07330,Application approved & operational,1,12.3m,15m,Operational,1,0.005,10/14/2013,-5.2004,50.1574
Point (-4.66949144566897889 50.34513350962766509),"Land North of Penhale Farm , Fowey",PA13/06802,Refused Planning Application,1,24.8m,34.4m,Refused,0,0.05,2/6/2015,-4.6695,50.3451
Point (-4.42810290267096018 50.71239173548148926),"Land w of Curry Lane Cottage, Boyton, Launceston",PA13/07593,Approved on appeal and operational,1,50m,77m,Operating appeal,1,0.5,10/9/2014,-4.4281,50.7124
Point (-5.11940248402567555 50.15860008658073355),"Tregonhaye Farm, Hillhead Road, Kergilliack",PA13/07716,Refused on appeal Planning Application,1,50m,77m,Appeal refused,0,0.5,7/13/2015,-5.1194,50.1586
Point (-4.73848751980157878 50.60907921599994808),"Land N of Vicarage Farm, Trewalder Road, Delabole.",PA13/07728,Application approved & operational,1,25m,34.6m,Operational,1,0.05,10/18/2013,-4.7385,50.6091
Point (-4.76486461473111245 50.39060539896074431),"Lestoon Farm, Luxulyan, Bodmin",PA13/08209,Application approved & operational,1,50m,77m,Operational,1,0.5,12/19/2013,-4.7649,50.3906
Point (-4.37834566392788016 50.58765214229327967),"Land NW of Bottonett Farm, Trebullett, Launceston",PA13/07962,Application approved & operational,1,50m,77m,Operational,1,0.5,12/12/2013,-4.3783,50.5877
Point (-4.83215379482973706 50.5015473637474841),"Land NW of Pengelly Farm, Burlawn, Wadebridge",PA13/08439,Application approved & operational,1,50m,77m,Operational,1,0.5,11/22/2013,-4.8322,50.5015
Point (-4.46061429107458096 50.90284041219004507),"Land NNW of Uplands Farm, Youlstone, Bude",PA13/08375,Refused on appeal Planning Application,1,40m,67m,Appeal refused,0,0.5,10/14/2015,-4.4606,50.9028
Point (-5.21555114317673318 50.0478732932724526),"NE of Bonython Manor, Bonython Estate",PA13/08719,Application approved & operational,1,22.5m,34.2m,Operational,1,0.055,12/23/2013,-5.2156,50.0479
Point (-4.55481242154643962 50.68776836725177048),"Fentrigan, Warbstow, Launceston",PA13/08668,Application approved & operational,1,24.8m,34.5m,Operational,1,0.05,11/18/2013,-4.5548,50.6878
Point (-4.44811364740956172 50.74413692589259028),"Dilland Farm, Whitstone, Holsworthy",PA13/08865,Application approved & operational,1,35m,61m,Operational,1,0.5,11/25/2013,-4.4481,50.7441
Point (-5.10852783854061521 50.35018711190557639),"Hendra Farm, Treamble, Rose, Truro",PA13/09188,Application approved not constructed,1,24m,33.6m,Approved,0,0.05,12/3/2013,-5.1085,50.3502
Point (-4.59519085666034055 50.6648725591870317),"Land SW of Tregray Villa, Hallworthy, Camelford",PA13/09145,Application approved not constructed,1,36.7m,47.1m,Approved,0,0.1,2/27/2014,-4.5952,50.6649
Point (-4.65568056926749829 50.39626219284683373),"Tredethick Farm, Tredethick Lane, Lostwithiel",PA13/09487,Application approved & operational,1,18.4m,24.9m,Operational,1,0.011,12/9/2013,-4.6557,50.3963
Point (-4.68145751218887796 50.48086518867386019),"E of Callybarrett Farm, Callybarrett Rd, Cardinham",PA13/06959,Application approved on appeal,1,30m,47m,Appeal allowed,0,0.225,12/4/2014,-4.6815,50.4809
Point (-4.61788534181151178 50.49907122820922467),"Land NW of Cabilla Manor, Cardinham, Bodmin",PA13/03102/PREAPP,Pre application - closed/issued,0,---,---,Closed pub avail,0,0.5,11/20/2013,-4.6179,50.4991
Point (-5.60027295437651063 50.1085254929053292),"Treganhoe Farm, Sancreed, Penzance",PA13/03191/PREAPP,Pre application - closed/issued,1,24m,34.2m,Closed pub avail,0,0.05,12/9/2013,-5.6003,50.1085
Point (-5.41848368779934741 50.17209501212764167),"1 Trenhayle Lane, St. Erth, Hayle",PA13/09554,Application approved & operational,1,---,32.2m,Operational,1,0.1,12/19/2013,-5.4185,50.1721
Point (-4.60087642165228239 50.665437684746081),"Lower Tregeen, Davidstow, Camelford",PA13/09438,Application approved not constructed,1,20m,27.1m,Approved,0,0.02,4/3/2014,-4.6009,50.6654
Point (-4.51713095381526752 50.36652224155414359),"Trelay Farm, Pelynt, Looe",PA13/03173/PREAPP,Pre application - closed/issued,1,30m,42m,Closed pub avail,0,0.1,12/4/2013,-4.5171,50.3665
Point (-4.2409458034084766 50.34954775519323533),"Land East of Withnoe Lane, St John",PA13/02467/PREAPP,Pre application - closed/issued,1,---,67m,Closed pub avail,0,0.5,10/28/2013,-4.2409,50.3495
Point (-4.72784714365580072 50.56676164869813306),"Polshea, St Tudy, Bodmin",PA13/09867,Refused on appeal Planning Application,1,40m,67m,Appeal refused,0,0.5,12/10/2015,-4.7278,50.5668
Point (-4.56689623249195531 50.73319034014325268),"Beckaveans, Jacobstow, Bude",PA13/08833,Application approved not constructed,1,30m,45m,Approved,0,0.25,2/5/2014,-4.5669,50.7332
Point (-4.94347244470508951 50.48086250228863747),"Higher Trevibban Farm, St Ervan",PA13/09744,Application approved not constructed,1,37m,49.65m,Approved,0,0.1,12/18/2013,-4.9435,50.4809
Point (-4.86635810322015594 50.27427359516416772),"Tregonan Farm, Tregony, Truro",PA13/10074,Refused on appeal Planning Application,1,55m,79m,Appeal refused,0,0.5,7/8/2015,-4.8664,50.2743
Point (-5.20015895546176754 50.0436414022525895),"Bonython Manor, Bonython Estate, Cury Cross Lanes",PA13/03464/PREAPP,Pre application - closed/issued,2,67m,107m,Closed pub avail,0,4,2/14/2014,-5.2002,50.0436
Point (-4.45680508489209348 50.74160317501549144),"Land SW of Nethercott, Whitstone, Holsworthy",PA13/06873,Application approved & operational,2,36.4m,46m,Operational,2,0.1,11/27/2013,-4.4568,50.7416
Point (-5.37846905151212606 50.10974542899316475),"Connings Farm, Helston Road, Germoe, Penzance",PA13/10706,Application approved & operational,1,15m,17.75m,Operational,1,0.005,2/19/2014,-5.3785,50.1097
Point (-4.88766349888678597 50.44647888009968995),"Pengelly Farm, St Wenn, Bodmin",PA13/10652,Application approved & operational,1,15m,17.75m,Operational,1,0.005,1/17/2014,-4.8877,50.4465
Point (-4.68264873538439819 50.63637030003950912),"Land W of Tregarth Business Park, Station Road",PA13/10532,Application approved & operational,1,33.5m,51m,Operational,1,0.25,3/14/2014,-4.6826,50.6364
Point (-4.66183228463929922 50.66225493130752966),"Land SW Of Halwill Barton, Camelford",PA13/03492/PREAPP,Pre application - closed/issued,1,36.7m,47.1m,Closed pub avail,0,0.1,1/22/2014,-4.6618,50.6623
Point (-5.06905179648032878 50.35736141011936695),"Treludderow Farm, St Newlyn East, Newquay",PA13/03533/PREAPP,Pre application - closed/issued,0,---,---,Closed pub avail,0,0,1/14/2014,-5.0691,50.3574
Point (-4.60669047574916934 50.682621802829253),"Rose Park Farm, Otterham Station, Camelford",PA13/11430,Application approved & operational,1,40m,67m,Operational,1,0.5,9/26/2014,-4.6067,50.6826
Point (-4.87244167245619053 50.28443970785019701),"Pitts Down Farm, Tregony, Truro",PA13/11428,Application approved not constructed,1,51m,79m,Approved,0,0.5,9/30/2014,-4.8724,50.2844
Point (-4.5800081610035237 50.37082653783388508),"Land at Carwen Farm, Lanreath, Looe",PA13/11501,Refused on appeal Planning Application,1,50m,77m,Appeal refused,0,0.5,7/13/2015,-4.58,50.3708
Point (-5.01255134819980608 50.28199988598377956),"Tregoninny Farm, Tresillian, Truro",PA13/03562/PREAPP,Pre application - closed/issued,1,55m,83m,Closed pub avail,0,1,1/6/2014,-5.0126,50.282
Point (-4.5438173534291133 50.41705413722122131),"Land at New Hartswell Farm, Herodsfoot, Liskeard",PA13/11706,Application approved on appeal,1,24.6m,34.2m,Appeal allowed,0,0.05,11/27/2014,-4.5438,50.4171
Point (-4.47102014798445868 50.59951261729091954),"Blackaton Farm, Lewannick, Launceston",PA12/09171,Application approved & operational,1,50m,77m,Operational,1,0.5,3/19/2013,-4.471,50.5995
Point (-4.70890431545669141 50.48264006451949371),"Callywith Quarry, Roselands Lane, Bodmin",PA14/00558,Application approved & operational,1,36.6m,48.4m,Operational,1,0.85,4/7/2014,-4.7089,50.4826
Point (-4.61493680905218273 50.588258029912474),"Fernacre, St Breward, Bodmin",PA14/00973,Application approved & operational,1,19.45m,22.95m,Operational,1,0.01,3/24/2014,-4.6149,50.5883
Point (-5.6722968516634138 50.10903070379445978),"Land at Trebartine, Kelynack, St Just, Penzance",PA14/00196/PREAPP,Pre application - closed/issued,1,10.25m,14m,Closed pub avail,0,0.01,2/21/2014,-5.6723,50.109
Point (-5.69459230920203296 50.12753661279526796),"Boswedden House, Boswedden, St Just, Penzance",PA14/00822/PREAPP,Pre application - closed/issued,1,10m,14m,Closed pub avail,0,0.01,4/17/2014,-5.6946,50.1275
Point (-4.50544636631198792 50.72107375785756034),"Big Field Wind Frm, Creddacott Frm, Week St Mary",PA14/02107,Refused Appeal Lodged,11,80m,125m,Refused app lodg,0,22,10/28/2014,-4.5054,50.7211
Point (-4.46198306260222388 50.73934054242181446),"Sea View Farm, Whitstone, Holsworthy",PA14/00274,Application approved not constructed,1,36.4m,46.1m,Approved,0,0.05,9/3/2014,-4.462,50.7393
Point (-4.86253429636139689 50.33889928832915928),"Land S of High Street Ind Estate, High Street",PA14/02549,Refused Appeal Lodged,1,24.8m,34.5m,Refused app lodg,0,0.05,8/5/2014,-4.8625,50.3389
Point (-4.96037487622767159 50.37482041975879099),"Glebe Farm, Narrow Lane, Penhale, Summercourt",PA14/02966,Refused Planning Application,1,23m,36m,Refused,0,0.1,4/24/2015,-4.9604,50.3748
Point (-4.7853961182835647 50.44549242771665121),"Land at Higher Woodley Farm, Lanivet, Bodmin",PA14/03078,Application approved & operational,1,30m,45m,Operational,1,0.25,6/5/2014,-4.7854,50.4455
Point (-4.5173756183685283 50.78405357821846167),"Langford Hele, Marhamchurch, Bude",PA14/03353,Application approved & operational,1,20.58m,27.13m,Operational,1,0.02,6/17/2014,-4.5174,50.7841
Point (-4.3354824135876493 50.61969562978879367),"Sheers Barton, Lawhitton",PA14/03557,Application approved & operational,1,40m,67m,Operational,1,0.5,9/30/2014,-4.3355,50.6197
Point (-5.64651669171800474 50.11562446524819592),"Cocks Roost, St Just, Penzance",PA14/01377,Refused Appeal Lodged,1,15m,18.5m,Refused app lodg,0,0.01,10/29/2014,-5.6465,50.1156
Point (-4.78889777528629601 50.3555331327786817),"Mount Stamper Farm, Scredda, St. Austell.",PA14/03980,Application approved & operational,1,15m,21.6m,Operational,1,0.01,6/12/2014,-4.7889,50.3555
Point (-4.90805503454724068 50.39091595456548589),"Gaverigan Farm, Indian Queens, St Columb",PA14/05025,Application approved & operational,1,50m,77m,Operational,1,0.5,9/30/2014,-4.9081,50.3909
Point (-4.35700140761659682 50.45454480977713274),"Land NW of Trewoodgate Farm, Quethiock, Liskeard",PA14/01786/PREAPP,Pre application - closed/issued,1,---,51m,Closed pub avail,0,0.05,8/13/2014,-4.357,50.4545
Point (-4.3290624626233738 50.37949553991999352),"Higher Tredis Farm, Sheviock, Torpoint",PA14/04822,Refused Planning Application,1,24.8m,34.5m,Appeal withdrawn,0,0.05,4/24/2015,-4.3291,50.3795
Point (-4.54075603276347195 50.7803434185389122),Land Between Coppathorne And Quinceborough Farm,PA14/04851,Refused on appeal Planning Application,1,30.52m,45.07m,Appeal refused,0,0,10/14/2015,-4.5408,50.7803
Point (-5.25846051111560886 50.17323126144007261),"Roses Farm, Black Rock, Camborne",PA15/03798,Refused Planning Application,1,21.1m,34.2m,Refused,0,0.06,7/7/2015,-5.2585,50.1732
Point (-4.43870180511848833 50.52778890163263981),"Knowle Farm, Upton Cross, Liskeard.",PA14/04952,Refused on appeal Planning Application,1,25m,35m,Appeal refused,0,0.05,9/2/2015,-4.4387,50.5278
Point (-4.26919035235560607 50.4888159091971005),"Lanoyce Nurseries, St. Dominick, Saltash",PA15/00484,Refused Planning Application,1,24.6m,34.2m,Refused,0,0.05,7/21/2015,-4.2692,50.4888
Point (-5.68048333589289722 50.13853010059015247),"10 Cresswell Terrace, Botallack, Penzance",PA14/04535,Application under consideration,1,3.1m,3.565m,Pending,0,0.001,1899-12-30,-5.6805,50.1385
Point (-4.95994192198885564 50.35616099375025101),"Trenithon Farm, Trenithon Lane, Summercourt",PA14/06049,Refused Planning Application,1,50m,77m,Refused app inv,0,0.9,8/17/2015,-4.9599,50.3562
Point (-4.82842099855219065 50.43739243074421807),"Great Brynn Barton, Roche, St Austell",PA14/06616,Application in for screening opinion N,1,50m,77m,screening N,0,0.5,2/9/2015,-4.8284,50.4374
Point (-4.66203644080483492 50.66233801128476699),"Land SW Of Halwill Barton, Camelford",PA14/06312,Application approved not constructed,1,22.6m,32.9m,Approved,0,0.1,9/23/2014,-4.662,50.6623
Point (-4.55076310502270598 50.42257785995655439),"Wilton Farm, East Taphouse, Liskeard",PA14/06447,Refused Appeal Lodged,1,50m,77m,Refused app lodg,0,0.5,10/15/2014,-4.5508,50.4226
Point (-4.94660463626443558 50.49134366744641511),"New Trevibban Farm, St. Issey, Wadebridge",PA14/06045,Application approved & operational,1,36.8m,48.5m,Operational,1,0.1,12/31/2014,-4.9466,50.4913
Point (-4.54187528078695291 50.65723822567464651),"Tregenna Farm, Treneglos, Launceston",PA14/06215,Application approved not constructed,1,20.58m,27.13m,Approved,0,0.02,8/29/2014,-4.5419,50.6572
Point (-4.92362543848639334 50.45060403242566593),"Trevornick Farm, St Columb.",PA14/06277,Application approved & operational,1,24.6m,34.2m,Operational,1,0.05,12/11/2014,-4.9236,50.4506
Point (-4.82842099855219065 50.43739243074421807),"Great Brynn Barton, Roche, St Austell",PA14/06287,Refused Planning Application,1,50m,77m,Refused,0,0.5,5/28/2015,-4.8284,50.4374
Point (-4.48968000544038048 50.63831759141054079),"Land at Lidcott, Laneast, Launceston",PA14/06531,Application approved & operational,1,35.7m,49m,Operational,1,0.1,9/24/2014,-4.4897,50.6383
Point (-4.35700140761659682 50.45454480977713274),"Dannett Farm, Quethiock, Liskeard",PA14/06610,Application in for screening opinion N,1,---,51m,screening N,0,0.25,8/5/2014,-4.357,50.4545
Point (-4.81194219463363204 50.35710810459366371),"Goonvean Works, Greensplat Road, Greensplat",PA14/07230,Application approved & operational,1,35m,61m,Operational,1,0.5,9/26/2014,-4.8119,50.3571
Point (-4.38329478717615739 50.74095091854716344),"Tamerton Town Farm, North Tamerton, Holsworthy",PA14/07103,Application approved not constructed,1,30m,45m,Approved,0,0.25,12/22/2014,-4.3833,50.741
Point (-4.3290624626233738 50.37949553991999352),"Higher Tredis Farm, Sheviock, Torpoint",PA14/05733,Application in for screening opinion N,1,24.8m,34.5m,screening N,0,0.05,8/4/2014,-4.3291,50.3795
Point (-5.14268941708861682 50.27666537926999979),"Truro Airfield, Tregavethan, Truro",PA14/07274,Application approved not constructed,1,26.1m,36.5m,Approved,0,0.1,1/22/2015,-5.1427,50.2767
Point (-4.58441468541830055 50.37048279866548484),"Furzedown, Lanreath, Looe",PA14/07782,Application approved & operational,1,50m,77m,Operational,1,0.5,12/11/2014,-4.5844,50.3705
Point (-4.81447340785708278 50.42729917427298147),"Unit 10, Cornish Gateway Services, Victoria, Roche",PA14/07518,Application approved & operational,1,4.33m,5m,Operational,1,0.001,2/17/2015,-4.8145,50.4273
Point (-4.60686782517314342 50.69076192019797134),Otterham Down (B),E1/2006/01274,Application approved & operational,4,46m,71m,Operational,4,3.2,6/21/2012,-4.6069,50.6908
Point (-4.90164943072451287 50.47418657704109535),"Land At Scotland Corner, Rosenannon",PA14/08635,Refused Planning Application,5,65m,110m,Refused,0,15,4/10/2015,-4.9016,50.4742
Point (-4.23978207695550324 50.51994261496948013),"Salters Farmhouse, Whiterocks Park, St Anns Chapel",PA14/08649,Refused Planning Application,1,24.7m,35m,Refused,0,0.05,10/7/2015,-4.2398,50.5199
Point (-5.09210627154912299 50.34892591374313042),"Monkey Tree Holiday Park, Rejerrah, Newquay",PA14/08915,Refused Appeal Lodged,1,50m,77m,Refused app lodg,0,0.5,4/30/2015,-5.0921,50.3489
Point (-4.37046270832336869 50.45713283010383066),"Trecorme Barton, Quethiock, Liskeard",PA14/09612,Refused Planning Application,2,18.3m,24.8m,Refused app inv,0,0.022,9/14/2015,-4.3705,50.4571
Point (-4.88723825083539065 50.302322096682758),Grampound,PA14/01810/PREAPP,Pre application - closed/issued,1,60m,100m,Closed pub avail,0,2,10/7/2014,-4.8872,50.3023
Point (-4.83016906649490707 50.27343816304110646),"Lanuah Farm, Kestle, St Ewe",PA14/01812/PREAPP,Pre application - closed/issued,1,45m,67m,Closed pub avail,0,0.9,10/8/2014,-4.8302,50.2734
Point (-4.8257121335714066 50.30382611199827636),St Austell,PA14/01811/PREAPP,Pre application - closed/issued,1,54m,78m,Closed pub avail,0,0.8,10/10/2014,-4.8257,50.3038
Point (-4.87706278226964418 50.27571376967914318),Tregony,PA14/01813/PREAPP,Pre application - closed/issued,1,60m,100m,Closed pub avail,0,2,10/6/2014,-4.8771,50.2757
Point (-4.85236617668790604 50.25804072350365459),"Trevascus Farm, Gorran, St Austell",PA14/01808/PREAPP,Pre application - closed/issued,2,45m,68.5m,Closed pub avail,0,1.8,10/8/2014,-4.8524,50.258
Point (-5.0495859047017948 50.33872824393917966),Trispen,PA14/01809/PREAPP,Pre application - closed/issued,2,60m,100m,Closed pub avail,0,4,10/8/2014,-5.0496,50.3387
Point (-4.8617709341755404 50.47779744792298118),"Kathellen, St Wenn, Bodmin",PA14/09534,Refused Planning Application,1,18.3,24.8m,Refused,0,0.011,3/5/2015,-4.8618,50.4778
Point (-5.11347685450498091 50.15289672563255863),"Field NW of Nangitha Farm, Budock Water",PA14/09850,Application in for screening opinion N,2,30.52m,45.07m,screening N,0,0.45,5/27/2015,-5.1135,50.1529
Point (-4.61898261509332819 50.49921645721219932),"Cabilla Manor, Cardinham, Bodmin",E1/2009/01280,Application approved & operational,1,15m,20m,Operational,1,0.02,11/2/2009,-4.619,50.4992
Point (-4.451307517936824 50.7424129937822741),"Land S of Dilland Farm, Whitstone, Holsworthy",PA14/10091,Refused Planning Application,1,36.4m,46m,Refused,0,0.05,2/16/2015,-4.4513,50.7424
Point (-4.51207984440482068 50.85968455506385055),"Killock Farm, Kilkhampton, Bude",PA14/10174,Application approved & operational,1,24.8m,34.5m,Operational,1,0.055,12/23/2014,-4.5121,50.8597
Point (-4.40917798486724699 50.68310504694137819),"Stenhill Farm, Stenhill Hill, North Petherwin",PA14/10399,Application in for screening opinion N,1,36.6m,48.4m,screening N,0,0.1,1/16/2015,-4.4092,50.6831
Point (-4.9287935596430934 50.37351280589613367),"Land at Pines Tip, Summercourt, Newquay",PA14/00920/PREAPP,Pre application - closed/issued,3,---,70m,Closed pub avail,0,2.55,10/31/2014,-4.9288,50.3735
Point (-4.85836903485510874 50.56814369079672389),"Land At Treswarrow Park Farm, Trelights.",PA14/10342,Refused Planning Application,1,35m,61m,Refused,0,0.5,2/20/2015,-4.8584,50.5681
Point (-4.3290624626233738 50.37949553991999352),"Higher Tredis Farm, Sheviock, Torpoint",PA14/10104,Application approved not constructed,1,24.8m,34.5m,Approved,0,0.05,3/31/2015,-4.3291,50.3795
Point (-4.85836903485510874 50.56814369079672389),"Land At Treswarrow Park Farm, Trelights",PA14/10991,Application in for screening opinion N,1,35m,61m,screening N,0,0.5,2/9/2015,-4.8584,50.5681
Point (-4.42484801515839088 50.75874095056538948),"Land At Haydon Farm, North Tamerton, Holsworthy",PA14/10400,Application approved not constructed,1,28.1m,38.625m,Approved,0,0.05,1/6/2015,-4.4248,50.7587
Point (-4.99628433850237386 50.37811601922307148),"Goonhoskyn Farm, Gummows Shop, Newquay",PA14/10808,Application under consideration,1,37m,50m,Pending,0,0.05,1899-12-30,-4.9963,50.3781
Point (-4.89207276757246312 50.33518628128640415),"Land SE of Resugga Farm, Resugga, St Stephen",PA14/10878,Application approved not constructed,1,24.8m,36.6m,Approved,0,0,2/25/2015,-4.8921,50.3352
Point (-4.40917798486724699 50.68310504694137819),"Stenhill Farm, Stenhill Hill, North Petherwin",PA14/11696,Application approved not constructed,1,24.8m,36.6m,Approved,0,0.055,4/28/2015,-4.4092,50.6831
Point (-4.90793780670513335 50.30360369260576903),"Penbetha Farm, Grampound Road.",PA14/11579,Refused Planning Application,1,---,48.01m,Refused,0,0.225,6/8/2015,-4.9079,50.3036
Point (-4.90793780670513335 50.30360369260576903),"Penbetha Farm, Grampound Road",PA14/11957,Application in for screening opinion N,1,---,48.01m,screening N,0,0.225,6/26/2015,-4.9079,50.3036
Point (-4.45297123814633977 50.62314251516865937),"Trenault Farm, Pipers Pool, Launceston",PA14/11895,Application in for screening opinion N,1,18.3m,24.8m,screening N,0,0.011,1/26/2015,-4.453,50.6231
Point (-4.38444376584095608 50.47248404466424176),"Land east of Ley Farm, West Looe Hill, West Looe",PA14/12148,Application in for screening opinion N,1,36.8m,48.5m,screening N,0,0.1,1/9/2015,-4.3844,50.4725
Point (-4.80566533566198029 50.37702444989312767),"Gunheath Quarry, St Austell",PA14/12172,Application approved & operational,1,50m,77m,Operational,1,0.5,3/5/2015,-4.8057,50.377
Point (-4.83691118757101357 50.34777070337018756),Land at Blackpool Quarry South.,PA15/00132,Application in for screening opinion N,1,50m,77m,screening N,0,0.5,1/22/2015,-4.8369,50.3478
Point (-4.54581569239898542 50.68379936383733053),"Churchtown Farm, Warbxtow, Launceston",PA15/00028,Refused on appeal Planning Application,1,36.6m,48.8m,Appeal refused,0,0.085,12/22/2015,-4.5458,50.6838
Point (-4.53978864522788772 50.76628061606589881),"Bangors House, Poundstock, Bude",PA15/00226,Refused Planning Application,1,18.3m,24.8m,Refused,0,0.011,3/3/2015,-4.5398,50.7663
Point (-4.73516055155289539 50.59931528462237083),"Trevilley Farm, Delabole",PA15/00137/PREAPP,Pre application - closed/issued,1,37m,48.5m,Closed pub avail,0,0.1,1/22/2015,-4.7352,50.5993
Point (-4.54352044907708041 50.47584218447774163),"Land S of Wenmouth Manor, St Neot, Liskeard",PA15/00271,Application in for screening opinion N,1,22m,34.2m,screening N,0,0.1,1/22/2015,-4.5435,50.4758
Point (-4.60969894787306878 50.63997787451242516),"Higher Tremail Farm, Tremail, Camelford",PA15/00273,Application in for screening opinion N,1,24.8m,36.6m,screening N,0,0.085,1/30/2015,-4.6097,50.64
Point (-4.91975696628672043 50.3549175856243707),"Scarcewater Tip, Grampound Road, Truro",PA15/00511,Application under consideration,3,---,92.5m,Pending,0,6.9,1899-12-30,-4.9198,50.3549
Point (-5.64803141799265962 50.12036263664688818),Leswidden Concrete Wks,PA15/00157/PREAPP,Pre application - closed/issued,1,24.8m,36.6m,Closed pub avail,0,0.085,1/30/2015,-5.648,50.1204
Point (-4.84079319681366194 50.33030514386257437),"Manor Farm, Burngullow Lane, High Street",PA15/00207,Application in for screening opinion P,1,64m,99m,screening P,0,0.5,2/2/2015,-4.8408,50.3303
Point (-4.50246604551711993 50.62193759222465417),"Land NE of Higher Tregunnon, Altarnun, Launceston",PA14/12064,Application approved not constructed,1,24.8m,36.6m,Approved,0,0,6/23/2015,-4.5025,50.6219
Point (-4.50246604551711993 50.62193759222465417),"Land NE of Higher Tregunnon, Altarnun, Launceston",PA15/00057,Application in for screening opinion N,1,24.8m,36.6m,screening N,0,0,2/9/2015,-4.5025,50.6219
